"Date","Price","Open","High","Low","Vol.","Change %"
"11/23/2022","105.967","107.045","107.135","105.910","31.04K","-1.07%"
"11/24/2022","105.967","105.880","105.995","105.545","13.44K","0.00%"
"11/25/2022","105.917","105.845","106.345","105.605","16.78K","-0.05%"
"11/28/2022","106.632","106.120","106.695","105.255","42.07K","0.68%"
"11/29/2022","106.768","106.605","106.820","105.995","24.38K","0.13%"
"11/30/2022","105.897","106.660","107.150","105.710","37.35K","-0.82%"
"12/01/2022","104.689","105.570","105.860","104.550","43.75K","-1.14%"
"12/02/2022","104.500","104.795","105.575","103.935","43.74K","-0.18%"
"12/05/2022","105.239","104.435","105.360","104.065","35.49K","0.71%"
"12/06/2022","105.542","105.095","105.585","104.850","28.96K","0.29%"
"12/07/2022","105.056","105.565","105.800","104.820","33.34K","-0.46%"
"12/08/2022","104.756","105.225","105.415","104.685","26.31K","-0.29%"
"12/09/2022","104.799","104.770","105.200","104.410","38.53K","0.04%"
"12/12/2022","105.104","104.850","105.235","104.640","29.21K","0.29%"
"12/13/2022","103.943","104.940","105.085","103.530","34.51K","-1.10%"
"12/14/2022","103.739","103.990","104.195","103.395","49.73K","-0.20%"
"12/15/2022","104.532","103.610","104.860","103.500","40.25K","0.76%"
"12/16/2022","104.661","104.460","104.815","104.230","15.35K","0.12%"
"12/19/2022","104.595","104.625","104.655","104.150","0.06K","-0.06%"
"12/20/2022","103.606","104.370","104.415","103.400","30.55K","-0.95%"
"12/21/2022","103.847","103.625","104.065","103.515","16.95K","0.23%"
"12/22/2022","104.127","103.800","104.300","103.435","21.05K","0.27%"
"12/23/2022","104.010","104.175","104.235","103.815","15.93K","-0.11%"
"12/27/2022","103.893","103.835","104.110","103.585","13.28K","-0.11%"
"12/28/2022","104.182","104.005","104.270","103.565","19.01K","0.28%"
"12/29/2022","103.586","104.080","104.215","103.535","14.45K","-0.57%"
"12/30/2022","103.269","103.640","103.865","103.145","22.93K","-0.31%"
"01/03/2023","104.312","103.445","104.650","103.235","32.36K","1.01%"
"01/04/2023","104.021","104.375","104.385","103.595","22.70K","-0.28%"
"01/05/2023","104.828","103.830","105.060","103.780","26.34K","0.78%"
"01/06/2023","103.646","104.840","105.500","103.620","38.59K","-1.13%"
"01/09/2023","102.743","103.690","103.690","102.680","35.68K","-0.87%"
"01/10/2023","102.980","102.975","103.250","102.770","20.58K","0.23%"
"01/11/2023","102.928","102.980","103.230","102.850","22.72K","-0.05%"
"01/12/2023","101.995","102.900","103.100","101.810","52.38K","-0.91%"
"01/13/2023","101.946","102.000","102.395","101.720","24.05K","-0.05%"
"01/16/2023","101.946","101.900","102.300","101.465","11.92K","0.00%"
"01/17/2023","102.141","102.045","102.325","101.680","27.43K","0.19%"
"01/18/2023","102.107","102.255","102.655","101.265","40.26K","-0.03%"
"01/19/2023","101.831","102.200","102.265","101.760","20.17K","-0.27%"
"01/20/2023","101.781","101.855","102.320","101.700","16.66K","-0.05%"
"01/23/2023","101.916","101.720","102.040","101.345","21.42K","0.13%"
"01/24/2023","101.675","101.770","102.205","101.485","22.22K","-0.24%"
"01/25/2023","101.416","101.735","101.890","101.330","23.31K","-0.25%"
"01/26/2023","101.638","101.395","101.985","101.295","23.08K","0.22%"
"01/27/2023","101.721","101.520","101.990","101.490","18.24K","0.08%"
"01/30/2023","102.086","101.750","102.125","101.460","21.43K","0.36%"
"01/31/2023","101.915","102.015","102.450","101.825","31.11K","-0.17%"
"02/01/2023","101.028","101.925","102.015","100.805","36.73K","-0.87%"
"02/02/2023","101.575","100.750","101.745","100.680","42.49K","0.54%"
"02/03/2023","102.755","101.650","102.850","101.380","39.17K","1.16%"
"02/06/2023","103.498","102.895","103.650","102.845","37.02K","0.72%"
"02/07/2023","103.298","103.415","103.850","102.870","27.28K","-0.19%"
"02/08/2023","103.272","103.170","103.385","102.880","17.73K","-0.03%"
"02/09/2023","103.106","103.385","103.450","102.520","21.83K","-0.16%"
"02/10/2023","103.535","103.120","103.590","102.800","21.58K","0.42%"
"02/13/2023","103.248","103.435","103.745","103.125","15.17K","-0.28%"
"02/14/2023","103.123","103.100","103.440","102.390","37.12K","-0.12%"
"02/15/2023","103.839","103.120","104.030","103.070","24.33K","0.69%"
"02/16/2023","103.791","103.815","104.170","103.465","29.83K","-0.05%"
"02/17/2023","103.780","104.095","104.605","103.765","24.05K","-0.01%"
"02/20/2023","103.780","103.830","104.020","103.685","9.41K","0.00%"
"02/21/2023","104.112","103.850","104.200","103.700","17.92K","0.32%"
"02/22/2023","104.523","104.030","104.540","103.945","15.07K","0.39%"
"02/23/2023","104.539","104.430","104.735","104.265","15.24K","0.02%"
"02/24/2023","105.158","104.445","105.275","104.375","23.92K","0.59%"
"02/27/2023","104.624","105.210","105.320","104.490","17.99K","-0.51%"
"02/28/2023","104.825","104.610","104.950","104.360","18.88K","0.19%"
"03/01/2023","104.432","104.985","105.035","104.045","26.13K","-0.37%"
"03/02/2023","104.995","104.440","105.155","104.420","18.33K","0.54%"
"03/03/2023","104.488","104.845","104.985","104.450","19.11K","-0.48%"
"03/06/2023","104.325","104.540","104.665","104.130","21.76K","-0.16%"
"03/07/2023","105.592","104.275","105.635","104.095","24.98K","1.21%"
"03/08/2023","105.634","105.600","105.870","105.335","31.06K","0.04%"
"03/09/2023","105.305","105.645","105.730","105.135","24.40K","-0.31%"
"03/10/2023","104.552","105.120","105.365","104.025","22.05K","-0.72%"
"03/13/2023","103.713","104.085","104.340","103.730","0.15K","-0.80%"
"03/14/2023","103.215","103.245","103.780","103.085","19.86K","-0.48%"
"03/15/2023","104.276","103.325","104.720","103.045","27.71K","1.03%"
"03/16/2023","104.092","104.340","104.405","103.895","27.79K","-0.18%"
"03/17/2023","103.360","104.100","104.125","103.335","18.18K","-0.70%"
"03/20/2023","102.933","103.415","103.640","102.905","14.83K","-0.41%"
"03/21/2023","102.897","102.960","103.145","102.635","12.93K","-0.03%"
"03/22/2023","101.972","102.840","102.910","101.670","19.34K","-0.90%"
"03/23/2023","102.207","102.095","102.295","101.555","22.48K","0.23%"
"03/24/2023","102.764","102.265","103.025","102.165","14.23K","0.54%"
"03/27/2023","102.518","102.770","102.895","102.480","7.36K","-0.24%"
"03/28/2023","102.106","102.425","102.430","102.040","9.38K","-0.40%"
"03/29/2023","102.298","102.130","102.440","102.030","10.00K","0.19%"
"03/30/2023","101.821","102.305","102.460","101.750","8.87K","-0.47%"
"03/31/2023","102.186","101.905","102.305","101.730","12.30K","0.36%"
"04/03/2023","101.787","102.270","102.745","101.560","16.16K","-0.39%"
"04/04/2023","101.267","101.735","101.950","101.140","15.26K","-0.51%"
"04/05/2023","101.545","101.245","101.680","101.090","16.08K","0.27%"
"04/06/2023","101.519","101.575","101.830","101.435","9.87K","-0.03%"
"04/07/2023","101.737","101.645","101.980","101.565","","0.21%"
"04/10/2023","102.249","101.730","102.480","101.655","11.16K","0.50%"
"04/11/2023","101.884","102.170","102.190","101.695","7.76K","-0.36%"
"04/12/2023","101.171","101.795","101.835","101.115","15.77K","-0.70%"
"04/13/2023","100.700","101.170","101.290","100.530","15.17K","-0.47%"
"04/14/2023","101.245","100.670","101.430","100.420","19.61K","0.54%"
"04/17/2023","101.796","101.285","101.925","101.225","12.81K","0.54%"
"04/18/2023","101.448","101.830","101.855","101.335","10.91K","-0.34%"
"04/19/2023","101.668","101.430","101.940","101.365","11.48K","0.22%"
"04/20/2023","101.566","101.695","101.845","101.350","10.87K","-0.10%"
"04/21/2023","101.552","101.520","101.855","101.370","10.51K","-0.01%"
"04/24/2023","101.073","101.450","101.635","101.055","11.95K","-0.47%"
"04/25/2023","101.592","101.000","101.675","100.930","12.84K","0.51%"
"04/26/2023","101.205","101.570","101.630","100.740","16.27K","-0.38%"
"04/27/2023","101.252","101.160","101.560","100.930","11.33K","0.05%"
"04/28/2023","101.403","101.210","102.040","101.170","19.70K","0.15%"
"05/01/2023","101.920","101.405","101.960","101.390","14.67K","0.51%"
"05/02/2023","101.725","101.930","102.185","101.640","16.72K","-0.19%"
"05/03/2023","101.115","101.650","101.700","100.835","17.19K","-0.60%"
"05/04/2023","101.184","101.025","101.415","100.520","21.79K","0.07%"
"05/05/2023","100.999","101.135","101.555","100.900","13.39K","-0.18%"
"05/08/2023","101.155","101.045","101.200","100.825","7.55K","0.15%"
"05/09/2023","101.399","101.210","101.635","101.155","10.44K","0.24%"
"05/10/2023","101.269","101.415","101.605","101.000","13.69K","-0.13%"
"05/11/2023","101.873","101.220","101.970","101.115","16.11K","0.60%"
"05/12/2023","102.509","101.905","102.545","101.755","16.12K","0.62%"
"05/15/2023","102.271","102.515","102.585","102.195","12.27K","-0.23%"
"05/16/2023","102.404","102.275","102.535","102.040","10.19K","0.13%"
"05/17/2023","102.726","102.440","102.960","102.375","9.98K","0.31%"
"05/18/2023","103.455","102.740","103.490","102.650","13.98K","0.71%"
"05/19/2023","103.079","103.390","103.490","102.870","18.44K","-0.36%"
"05/22/2023","103.079","103.020","103.255","102.845","9.76K","0.00%"
"05/23/2023","103.385","103.160","103.545","103.055","14.06K","0.30%"
"05/24/2023","103.799","103.445","103.830","103.260","15.31K","0.40%"
"05/25/2023","104.175","103.775","104.245","103.775","15.07K","0.36%"
"05/26/2023","104.136","104.165","104.340","103.715","15.66K","-0.04%"
"05/29/2023","104.136","104.175","104.230","103.970","5.27K","0.00%"
"05/30/2023","104.078","104.230","104.445","103.785","11.54K","-0.06%"
"05/31/2023","104.245","103.990","104.615","103.935","16.96K","0.16%"
"06/01/2023","103.502","104.105","104.440","103.435","16.36K","-0.71%"
